行政區,收容所名稱,地址,經度,緯度,最大容納人數,可支援收容災害類型
安定區,安定國中（臨時備用場所）,臺南市安定區安加里262-1號,120.2381,23.1196,350,"風災、水災、震災
"
安定區,南安國小（臨時備用場所）,臺南市安定區南安里62號,120.225,23.0984,350,"風災、水災、震災
"
安定區,南興國小（臨時備用場所）,臺南市安定區六嘉里30號,120.219,23.0798,300,"風災、水災、震災
"
安定區,"安定體育運動公園
（防災公園）",臺南市安定區安加里243-5號旁,120.23815,23.118189,1000,"震災
"
山上區,山上區國民小學,臺南市山上區南洲43號,120.3557,23.1008,1000,"水災、震災
"
山上區,山上國民中學,臺南市山上區山上130號,120.3584,23.103,1000,"水災、震災
"
玉井區,玉井國小(活動中心及3樓),臺南市玉井區中正路1號,120.459609,23.12158,450,"水災、震災
"
玉井區,玉井國中(活動中心及3樓),臺南市玉井區大成路152號,120.469927,23.123155,450,"水災、震災
"
玉井區,玉井區綜合體育館,臺南市玉井區民族路216號,120.468388,23.123328,200,"水災、震災
"
玉井區,國立玉井高級工商職業學校(活動中心及教學大樓3樓、4樓、5樓),玉井區玉井里中山路1-1號,120.45985,23.120129,964,"水災、震災
"
楠西區,楠西國小,臺南市楠西區四維路69號,120.48554,23.17509,690,風災、水災、震災、土石流
楠西區,楠西國中,臺南市楠西區中興路107號,120.484631,23.180772,630,風災、水災、震災、土石流
楠西區,楠西區公所,臺南市楠西區中正路230號,120.48633,23.17414,40,風災、水災、震災、土石流
楠西區,楠西區老人文康活動中心,臺南市楠西區民族路128號,120.482979,23.179662,80,風災、水災、震災、土石流
楠西區,大智山玄空法寺,臺南市楠西區中華路270號,120.48311,23.178986,50,風災、水災、震災、土石流
南化區,東和里活動中心,臺南市南化區東和19-1號,120.4741,23.0206,123,"水災、震災
"
南化區,中坑里活動中心,臺南市南化區中坑38-6號,120.4715,23.0539,78,"水災、震災
"
南化區,玉山里活動中心,臺南市南化區玉山65號,120.5201,23.0757,174,水災、震災、土石流
南化區,關山里活動中心,臺南市南化區關山84-3號,120.5949,23.1735,83,水災、震災、土石流
南化區,南化區老人文康中心,臺南市南化區南化172-1號,120.4776,23.0431,116,"水災、震災
"
南化區,瑞峰國小,臺南市南化區關山96號,120.5953,23.1736,20,水災、震災、土石流
南化區,北寮國小操場,臺南市南化區北寮110-27號,120.494179,23.076351,618,"震災
"
左鎮區,左鎮區老人活動中心,臺南市左鎮區中正15-4號,120.4061,23.0577,42,"水災、震災
"
左鎮區,左鎮區公所,台南市左鎮區中正里171-4號,120.4087,23.0565,40,"水災、震災
"
